评论ID,商品,评论文本,评分,点赞数,评论日期
R0403,智能手机,还行吧，一般般。,3,280,2024-01-07
R0404,家电,包装精美，产品和描述一致，推荐！,4,454,2024-06-13
R0405,耳机,性价比很高，满意的一次购物。,4,247,2024-01-23
R0406,家电,功能齐全，做工精细，好评！,4,128,2024-05-03
R0407,耳机,价格还算合理。,3,71,2024-02-14
R0408,家电,价格还算合理。,3,310,2024-06-18
R0409,手表,性价比很高，满意的一次购物。,4,61,2024-05-25
R0410,智能手机,性价比很高，满意的一次购物。,5,147,2024-05-25
R0411,手表,价格还算合理。,3,285,2024-06-22
R0412,家电,非常好用，物流很快，客服态度也很好！,5,474,2024-02-02
R0413,智能手机,性价比很高，满意的一次购物。,4,152,2024-03-27
R0414,耳机,跟描述差不多，可以接受。,3,269,2024-04-23
R0415,手表,包装精美，产品和描述一致，推荐！,5,198,2024-03-21
R0416,家电,价格还算合理。,3,296,2024-06-14
R0417,笔记本电脑,质量不好，跟图片不一样，不推荐。,2,430,2024-03-03
R0418,智能手机,产品正常，没有惊喜。,3,163,2024-02-20
R0419,手表,用了几天就出问题，失望。,1,65,2024-01-30
R0420,手表,使用体验很棒，朋友都说好看。,4,73,2024-04-08
R0421,智能手机,价格还算合理。,3,467,2024-02-14
R0422,家电,功能齐全，做工精细，好评！,5,170,2024-01-02
R0423,智能手机,功能齐全，做工精细，好评！,4,449,2024-02-07
R0424,手表,包装精美，产品和描述一致，推荐！,5,500,2024-04-05
R0425,家电,功能齐全，做工精细，好评！,4,209,2024-04-05
R0426,智能手机,使用体验很棒，朋友都说好看。,5,201,2024-06-12
R0427,家电,包装有破损，体验差。,2,405,2024-04-15
R0428,智能手机,使用体验很棒，朋友都说好看。,4,66,2024-01-06
R0429,家电,功能齐全，做工精细，好评！,5,89,2024-01-09
R0430,智能手机,质量超出预期，会再次购买。,5,330,2024-03-26
R0431,智能手机,功能齐全，做工精细，好评！,4,312,2024-01-17
R0432,耳机,性价比很高，满意的一次购物。,4,268,2024-03-22
R0433,手表,物流太慢了，客服也不回复。,1,472,2024-05-11
R0434,家电,非常好用，物流很快，客服态度也很好！,5,149,2024-05-07
R0435,手表,质量不好，跟图片不一样，不推荐。,1,384,2024-03-31
R0436,手表,不值这个价格，不建议购买。,1,425,2024-01-23
R0437,手表,质量不好，跟图片不一样，不推荐。,2,437,2024-02-08
R0438,手表,功能齐全，做工精细，好评！,5,431,2024-04-05
R0439,耳机,跟描述差不多，可以接受。,3,284,2024-03-09
R0440,笔记本电脑,还行吧，一般般。,3,184,2024-05-13
R0441,智能手机,产品正常，没有惊喜。,3,213,2024-05-14
R0442,手表,包装有破损，体验差。,1,75,2024-04-22
R0443,手表,还行吧，一般般。,3,173,2024-04-06
R0444,家电,质量超出预期，会再次购买。,5,75,2024-04-30
R0445,家电,包装精美，产品和描述一致，推荐！,4,472,2024-06-27
R0446,智能手机,功能齐全，做工精细，好评！,5,472,2024-05-09
R0447,家电,使用体验很棒，朋友都说好看。,5,349,2024-05-10
R0448,笔记本电脑,使用体验很棒，朋友都说好看。,5,353,2024-04-22
R0449,耳机,还行吧，一般般。,3,183,2024-06-04
R0450,手表,用了几天就出问题，失望。,2,243,2024-01-18
R0451,笔记本电脑,使用体验很棒，朋友都说好看。,5,429,2024-04-28
R0452,手表,包装有破损，体验差。,1,248,2024-04-02
R0453,耳机,价格还算合理。,3,437,2024-03-26
R0454,家电,用了几天就出问题，失望。,2,310,2024-04-02
R0455,家电,非常好用，物流很快，客服态度也很好！,5,29,2024-02-21
R0456,家电,用了几天就出问题，失望。,1,52,2024-02-10
R0457,笔记本电脑,质量超出预期，会再次购买。,4,185,2024-06-14
R0458,家电,功能齐全，做工精细，好评！,5,134,2024-04-04
R0459,智能手机,质量超出预期，会再次购买。,4,255,2024-04-18
R0460,耳机,跟描述差不多，可以接受。,3,88,2024-03-13
R0461,耳机,包装有破损，体验差。,2,238,2024-06-08
R0462,手表,跟描述差不多，可以接受。,3,468,2024-06-20
R0463,智能手机,性价比很高，满意的一次购物。,5,153,2024-02-02
R0464,智能手机,价格还算合理。,3,192,2024-05-12
R0465,手表,物流太慢了，客服也不回复。,1,474,2024-03-11
R0466,耳机,功能齐全，做工精细，好评！,5,24,2024-01-11
R0467,智能手机,非常好用，物流很快，客服态度也很好！,5,28,2024-06-10
R0468,智能手机,跟描述差不多，可以接受。,3,99,2024-01-10
R0469,手表,包装有破损，体验差。,2,387,2024-03-02
R0470,手表,包装精美，产品和描述一致，推荐！,5,165,2024-01-22
R0471,笔记本电脑,使用体验很棒，朋友都说好看。,5,415,2024-06-03
R0472,家电,非常好用，物流很快，客服态度也很好！,5,201,2024-05-21
R0473,手表,物流太慢了，客服也不回复。,2,102,2024-01-19
R0474,笔记本电脑,使用体验很棒，朋友都说好看。,5,117,2024-01-08
R0475,家电,质量不好，跟图片不一样，不推荐。,2,57,2024-01-17
R0476,智能手机,性价比很高，满意的一次购物。,4,354,2024-04-20
R0477,家电,产品正常，没有惊喜。,3,242,2024-01-21
R0478,手表,性价比很高，满意的一次购物。,5,204,2024-06-13
R0479,笔记本电脑,包装精美，产品和描述一致，推荐！,5,460,2024-03-17
R0480,智能手机,非常好用，物流很快，客服态度也很好！,4,19,2024-05-16
R0481,智能手机,质量不好，跟图片不一样，不推荐。,1,481,2024-04-17
R0482,智能手机,产品正常，没有惊喜。,3,488,2024-01-16
R0483,家电,使用体验很棒，朋友都说好看。,4,426,2024-04-08
R0484,耳机,非常好用，物流很快，客服态度也很好！,4,27,2024-05-29
R0485,手表,质量超出预期，会再次购买。,5,432,2024-06-12
R0486,耳机,包装精美，产品和描述一致，推荐！,5,158,2024-04-12
R0487,手表,功能齐全，做工精细，好评！,5,360,2024-01-09
R0488,家电,包装精美，产品和描述一致，推荐！,4,179,2024-06-13
R0489,笔记本电脑,非常好用，物流很快，客服态度也很好！,4,490,2024-01-17
R0490,手表,价格还算合理。,3,13,2024-02-03
R0491,笔记本电脑,用了几天就出问题，失望。,1,290,2024-03-28
R0492,笔记本电脑,性价比很高，满意的一次购物。,4,260,2024-06-13
R0493,耳机,跟描述差不多，可以接受。,3,63,2024-01-11
R0494,手表,性价比很高，满意的一次购物。,5,43,2024-03-20
R0495,耳机,不值这个价格，不建议购买。,1,146,2024-01-30
R0496,家电,价格还算合理。,3,335,2024-06-22
R0497,手表,用了几天就出问题，失望。,2,40,2024-06-14
R0498,智能手机,产品正常，没有惊喜。,3,493,2024-04-17
R0499,手表,包装精美，产品和描述一致，推荐！,5,87,2024-05-21
R0500,耳机,非常好用，物流很快，客服态度也很好！,5,59,2024-06-20
R0501,耳机,非常好用，物流很快，客服态度也很好！,4,151,2024-06-11
R0502,智能手机,质量不好，跟图片不一样，不推荐。,1,345,2024-03-13
R0503,手表,不值这个价格，不建议购买。,1,116,2024-06-13
R0504,家电,非常好用，物流很快，客服态度也很好！,4,87,2024-06-12
R0505,家电,还行吧，一般般。,3,61,2024-02-28
R0506,智能手机,使用体验很棒，朋友都说好看。,5,229,2024-03-25
R0507,家电,非常好用，物流很快，客服态度也很好！,4,44,2024-04-19
R0508,笔记本电脑,价格还算合理。,3,152,2024-05-26
R0509,耳机,质量超出预期，会再次购买。,5,446,2024-02-05
R0510,手表,非常好用，物流很快，客服态度也很好！,5,14,2024-02-09
R0511,耳机,使用体验很棒，朋友都说好看。,5,337,2024-06-15
R0512,耳机,质量不好，跟图片不一样，不推荐。,1,297,2024-05-29
R0513,耳机,质量超出预期，会再次购买。,4,330,2024-01-30
R0514,家电,跟描述差不多，可以接受。,3,5,2024-02-18
R0515,耳机,功能齐全，做工精细，好评！,5,70,2024-05-02
R0516,家电,使用体验很棒，朋友都说好看。,4,287,2024-02-19
R0517,手表,包装精美，产品和描述一致，推荐！,4,91,2024-01-09
R0518,笔记本电脑,使用体验很棒，朋友都说好看。,5,303,2024-03-14
R0519,耳机,包装精美，产品和描述一致，推荐！,5,229,2024-01-04
R0520,家电,用了几天就出问题，失望。,2,273,2024-02-18
R0521,耳机,物流太慢了，客服也不回复。,1,372,2024-06-14
R0522,家电,非常好用，物流很快，客服态度也很好！,5,396,2024-01-09
R0523,耳机,包装有破损，体验差。,2,438,2024-05-04
R0524,家电,包装有破损，体验差。,1,254,2024-04-19
R0525,家电,质量超出预期，会再次购买。,5,297,2024-03-31
R0526,家电,不值这个价格，不建议购买。,1,294,2024-04-29
R0527,笔记本电脑,还行吧，一般般。,3,62,2024-04-01
R0528,家电,性价比很高，满意的一次购物。,4,425,2024-05-28
R0529,耳机,功能齐全，做工精细，好评！,5,110,2024-06-21
R0530,笔记本电脑,性价比很高，满意的一次购物。,4,196,2024-02-27
R0531,家电,产品正常，没有惊喜。,3,169,2024-05-14
R0532,耳机,功能齐全，做工精细，好评！,4,420,2024-01-28
R0533,手表,不值这个价格，不建议购买。,2,368,2024-05-15
R0534,智能手机,使用体验很棒，朋友都说好看。,5,269,2024-05-19
R0535,智能手机,功能齐全，做工精细，好评！,5,160,2024-03-18
R0536,智能手机,质量超出预期，会再次购买。,5,417,2024-04-28
R0537,智能手机,不值这个价格，不建议购买。,1,334,2024-01-05
R0538,耳机,质量超出预期，会再次购买。,4,125,2024-01-14
R0539,智能手机,跟描述差不多，可以接受。,3,497,2024-03-24
R0540,耳机,质量超出预期，会再次购买。,5,65,2024-02-26
R0541,笔记本电脑,跟描述差不多，可以接受。,3,258,2024-06-27
R0542,家电,非常好用，物流很快，客服态度也很好！,4,311,2024-02-07
R0543,家电,功能齐全，做工精细，好评！,5,183,2024-06-14
R0544,手表,使用体验很棒，朋友都说好看。,4,385,2024-03-16
R0545,手表,跟描述差不多，可以接受。,3,429,2024-02-12
R0546,家电,使用体验很棒，朋友都说好看。,4,263,2024-02-23
R0547,笔记本电脑,质量超出预期，会再次购买。,4,345,2024-05-04
R0548,手表,产品正常，没有惊喜。,3,1,2024-04-13
R0549,耳机,跟描述差不多，可以接受。,3,258,2024-05-17
R0550,家电,跟描述差不多，可以接受。,3,147,2024-05-29
R0551,笔记本电脑,性价比很高，满意的一次购物。,4,475,2024-02-20
R0552,家电,性价比很高，满意的一次购物。,4,362,2024-03-12
R0553,耳机,质量超出预期，会再次购买。,5,111,2024-03-13
R0554,笔记本电脑,用了几天就出问题，失望。,2,108,2024-05-26
R0555,耳机,性价比很高，满意的一次购物。,5,125,2024-06-28
R0556,耳机,非常好用，物流很快，客服态度也很好！,5,83,2024-01-05
R0557,家电,使用体验很棒，朋友都说好看。,4,21,2024-03-31
R0558,笔记本电脑,价格还算合理。,3,29,2024-03-30
R0559,家电,不值这个价格，不建议购买。,1,6,2024-04-05
R0560,耳机,功能齐全，做工精细，好评！,5,88,2024-05-25
R0561,手表,产品正常，没有惊喜。,3,34,2024-04-19
R0562,家电,包装精美，产品和描述一致，推荐！,5,267,2024-01-23
R0563,手表,产品正常，没有惊喜。,3,259,2024-06-24
R0564,智能手机,质量超出预期，会再次购买。,4,219,2024-02-25
R0565,笔记本电脑,使用体验很棒，朋友都说好看。,4,79,2024-02-23
R0566,耳机,使用体验很棒，朋友都说好看。,5,496,2024-03-12
R0567,智能手机,质量超出预期，会再次购买。,4,215,2024-04-29
R0568,手表,不值这个价格，不建议购买。,2,3,2024-04-19
R0569,笔记本电脑,不值这个价格，不建议购买。,2,332,2024-03-14
R0570,手表,跟描述差不多，可以接受。,3,252,2024-01-10
R0571,家电,功能齐全，做工精细，好评！,5,293,2024-06-21
R0572,家电,质量超出预期，会再次购买。,4,89,2024-01-23
R0573,家电,价格还算合理。,3,45,2024-01-30
R0574,笔记本电脑,还行吧，一般般。,3,137,2024-03-29
R0575,手表,非常好用，物流很快，客服态度也很好！,4,84,2024-06-16
R0576,家电,用了几天就出问题，失望。,2,494,2024-03-10
R0577,手表,用了几天就出问题，失望。,2,361,2024-04-12
R0578,耳机,功能齐全，做工精细，好评！,5,12,2024-03-28
R0579,笔记本电脑,功能齐全，做工精细，好评！,4,136,2024-05-25
R0580,耳机,包装精美，产品和描述一致，推荐！,5,72,2024-05-08
R0581,耳机,价格还算合理。,3,40,2024-01-17
R0582,耳机,使用体验很棒，朋友都说好看。,5,353,2024-04-25
R0583,耳机,质量不好，跟图片不一样，不推荐。,2,469,2024-04-18
R0584,笔记本电脑,质量超出预期，会再次购买。,5,334,2024-03-17
R0585,笔记本电脑,包装有破损，体验差。,1,116,2024-06-16
R0586,耳机,质量超出预期，会再次购买。,5,379,2024-06-14
R0587,家电,还行吧，一般般。,3,233,2024-03-23
R0588,笔记本电脑,功能齐全，做工精细，好评！,5,420,2024-06-20
R0589,家电,用了几天就出问题，失望。,1,51,2024-01-10
R0590,智能手机,性价比很高，满意的一次购物。,5,43,2024-01-24
R0591,笔记本电脑,跟描述差不多，可以接受。,3,498,2024-04-20
R0592,耳机,物流太慢了，客服也不回复。,2,446,2024-04-18
R0593,家电,功能齐全，做工精细，好评！,4,425,2024-05-20
R0594,智能手机,用了几天就出问题，失望。,2,458,2024-06-07
R0595,家电,产品正常，没有惊喜。,3,135,2024-01-21
R0596,家电,使用体验很棒，朋友都说好看。,4,120,2024-06-11
R0597,耳机,价格还算合理。,3,61,2024-03-29
R0598,手表,功能齐全，做工精细，好评！,4,206,2024-03-05
R0599,智能手机,非常好用，物流很快，客服态度也很好！,4,277,2024-03-07
R0600,手表,质量超出预期，会再次购买。,5,434,2024-02-02
R0601,智能手机,跟描述差不多，可以接受。,3,21,2024-01-04
R0602,手表,还行吧，一般般。,3,222,2024-04-03
R0603,家电,功能齐全，做工精细，好评！,4,13,2024-01-17
R0604,家电,包装精美，产品和描述一致，推荐！,5,359,2024-04-26
R0605,笔记本电脑,产品正常，没有惊喜。,3,351,2024-06-03
R0606,智能手机,包装有破损，体验差。,1,128,2024-02-07
R0607,家电,包装精美，产品和描述一致，推荐！,5,197,2024-04-13
R0608,耳机,用了几天就出问题，失望。,2,44,2024-04-20
R0609,耳机,还行吧，一般般。,3,153,2024-01-30
R0610,智能手机,使用体验很棒，朋友都说好看。,5,408,2024-06-16
R0611,智能手机,质量超出预期，会再次购买。,4,96,2024-03-11
R0612,手表,质量不好，跟图片不一样，不推荐。,1,437,2024-05-09
R0613,智能手机,质量不好，跟图片不一样，不推荐。,1,325,2024-01-19
R0614,耳机,还行吧，一般般。,3,115,2024-05-03
R0615,手表,跟描述差不多，可以接受。,3,451,2024-02-01
R0616,耳机,质量超出预期，会再次购买。,4,195,2024-04-19
R0617,家电,非常好用，物流很快，客服态度也很好！,5,164,2024-02-15
R0618,家电,包装精美，产品和描述一致，推荐！,5,232,2024-03-09
R0619,智能手机,产品正常，没有惊喜。,3,462,2024-05-16
R0620,耳机,使用体验很棒，朋友都说好看。,4,79,2024-05-06
R0621,家电,性价比很高，满意的一次购物。,4,369,2024-04-10
R0622,耳机,使用体验很棒，朋友都说好看。,4,342,2024-05-07
R0623,笔记本电脑,包装精美，产品和描述一致，推荐！,4,23,2024-06-21
R0624,耳机,功能齐全，做工精细，好评！,4,447,2024-04-11
R0625,手表,价格还算合理。,3,243,2024-06-28
R0626,笔记本电脑,功能齐全，做工精细，好评！,4,500,2024-04-02
R0627,手表,物流太慢了，客服也不回复。,1,458,2024-06-23
R0628,手表,用了几天就出问题，失望。,1,156,2024-03-24
R0629,笔记本电脑,功能齐全，做工精细，好评！,4,163,2024-01-31
R0630,家电,功能齐全，做工精细，好评！,4,151,2024-05-05
R0631,家电,功能齐全，做工精细，好评！,4,263,2024-03-27
R0632,智能手机,性价比很高，满意的一次购物。,5,306,2024-04-24
R0633,智能手机,不值这个价格，不建议购买。,2,292,2024-03-23
R0634,笔记本电脑,包装精美，产品和描述一致，推荐！,5,438,2024-01-05
R0635,家电,质量超出预期，会再次购买。,4,134,2024-02-08
R0636,笔记本电脑,包装有破损，体验差。,1,421,2024-03-06
R0637,智能手机,质量超出预期，会再次购买。,5,288,2024-05-09
R0638,耳机,使用体验很棒，朋友都说好看。,5,153,2024-03-23
R0639,笔记本电脑,包装有破损，体验差。,1,483,2024-05-03
R0640,手表,质量超出预期，会再次购买。,4,58,2024-03-07
R0641,耳机,使用体验很棒，朋友都说好看。,4,355,2024-06-04
R0642,家电,非常好用，物流很快，客服态度也很好！,5,148,2024-01-05
R0643,手表,非常好用，物流很快，客服态度也很好！,4,10,2024-04-09
R0644,耳机,使用体验很棒，朋友都说好看。,5,64,2024-04-12
R0645,智能手机,质量超出预期，会再次购买。,4,323,2024-02-25
R0646,笔记本电脑,使用体验很棒，朋友都说好看。,4,111,2024-04-30
R0647,智能手机,质量超出预期，会再次购买。,4,252,2024-03-22
R0648,家电,不值这个价格，不建议购买。,2,34,2024-02-10
R0649,手表,性价比很高，满意的一次购物。,4,231,2024-04-02
R0650,手表,非常好用，物流很快，客服态度也很好！,5,123,2024-03-25
R0651,智能手机,性价比很高，满意的一次购物。,5,304,2024-06-16
R0652,手表,非常好用，物流很快，客服态度也很好！,5,314,2024-03-02
R0653,家电,质量超出预期，会再次购买。,4,210,2024-02-23
R0654,家电,包装精美，产品和描述一致，推荐！,5,243,2024-01-28
R0655,笔记本电脑,物流太慢了，客服也不回复。,1,354,2024-01-14
R0656,智能手机,包装精美，产品和描述一致，推荐！,5,128,2024-03-20
R0657,手表,使用体验很棒，朋友都说好看。,5,296,2024-05-20
R0658,家电,包装有破损，体验差。,1,419,2024-06-17
R0659,笔记本电脑,功能齐全，做工精细，好评！,4,349,2024-06-24
R0660,智能手机,质量不好，跟图片不一样，不推荐。,1,316,2024-06-20
R0661,手表,产品正常，没有惊喜。,3,167,2024-01-23
R0662,笔记本电脑,功能齐全，做工精细，好评！,4,273,2024-01-02
R0663,笔记本电脑,还行吧，一般般。,3,359,2024-04-06
R0664,智能手机,性价比很高，满意的一次购物。,5,119,2024-04-30
R0665,耳机,质量不好，跟图片不一样，不推荐。,1,445,2024-01-16
R0666,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,32,2024-01-25
R0667,智能手机,质量超出预期，会再次购买。,5,402,2024-05-02
R0668,家电,使用体验很棒，朋友都说好看。,5,55,2024-04-30
R0669,智能手机,质量超出预期，会再次购买。,5,122,2024-06-16
R0670,智能手机,性价比很高，满意的一次购物。,5,269,2024-06-06
R0671,手表,产品正常，没有惊喜。,3,345,2024-06-13
R0672,家电,产品正常，没有惊喜。,3,381,2024-05-24
R0673,家电,跟描述差不多，可以接受。,3,91,2024-04-08
R0674,耳机,非常好用，物流很快，客服态度也很好！,4,479,2024-04-26
R0675,智能手机,质量超出预期，会再次购买。,4,473,2024-05-30
R0676,手表,价格还算合理。,3,411,2024-06-19
R0677,笔记本电脑,包装精美，产品和描述一致，推荐！,4,273,2024-06-23
R0678,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,336,2024-05-06
R0679,智能手机,使用体验很棒，朋友都说好看。,4,294,2024-03-08
R0680,家电,用了几天就出问题，失望。,1,50,2024-03-12
R0681,笔记本电脑,物流太慢了，客服也不回复。,2,239,2024-04-17
R0682,智能手机,功能齐全，做工精细，好评！,4,301,2024-06-14
R0683,耳机,功能齐全，做工精细，好评！,5,375,2024-02-27
R0684,笔记本电脑,产品正常，没有惊喜。,3,88,2024-04-29
R0685,智能手机,使用体验很棒，朋友都说好看。,5,351,2024-05-17
R0686,智能手机,还行吧，一般般。,3,407,2024-04-02
R0687,智能手机,包装精美，产品和描述一致，推荐！,5,65,2024-02-03
R0688,手表,包装有破损，体验差。,2,125,2024-05-03
R0689,耳机,物流太慢了，客服也不回复。,2,393,2024-01-17
R0690,智能手机,包装精美，产品和描述一致，推荐！,4,496,2024-06-14
R0691,手表,包装有破损，体验差。,1,201,2024-01-18
R0692,耳机,非常好用，物流很快，客服态度也很好！,5,237,2024-01-18
R0693,笔记本电脑,质量超出预期，会再次购买。,4,144,2024-06-20
R0694,耳机,不值这个价格，不建议购买。,2,214,2024-06-09
R0695,耳机,使用体验很棒，朋友都说好看。,5,220,2024-06-10
R0696,耳机,还行吧，一般般。,3,123,2024-02-25
R0697,智能手机,性价比很高，满意的一次购物。,4,427,2024-06-28
R0698,智能手机,质量超出预期，会再次购买。,5,178,2024-04-13
R0699,智能手机,跟描述差不多，可以接受。,3,126,2024-01-09
R0700,笔记本电脑,包装精美，产品和描述一致，推荐！,5,311,2024-04-14
R0701,笔记本电脑,包装有破损，体验差。,2,454,2024-02-29
R0702,耳机,物流太慢了，客服也不回复。,1,132,2024-06-04
R0703,耳机,跟描述差不多，可以接受。,3,332,2024-03-01
R0704,笔记本电脑,质量超出预期，会再次购买。,5,89,2024-01-18
R0705,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,310,2024-01-31
R0706,手表,不值这个价格，不建议购买。,2,31,2024-06-14
R0707,智能手机,使用体验很棒，朋友都说好看。,5,372,2024-05-16
R0708,手表,质量不好，跟图片不一样，不推荐。,2,33,2024-06-21
R0709,智能手机,包装有破损，体验差。,1,332,2024-03-09
R0710,笔记本电脑,包装精美，产品和描述一致，推荐！,5,391,2024-05-04
R0711,手表,性价比很高，满意的一次购物。,5,17,2024-02-03
R0712,手表,包装有破损，体验差。,2,324,2024-02-15
R0713,耳机,性价比很高，满意的一次购物。,4,224,2024-02-19
R0714,手表,不值这个价格，不建议购买。,2,497,2024-05-22
R0715,耳机,质量不好，跟图片不一样，不推荐。,2,211,2024-02-26
R0716,手表,包装有破损，体验差。,1,42,2024-04-06
R0717,手表,使用体验很棒，朋友都说好看。,4,262,2024-05-08
R0718,笔记本电脑,还行吧，一般般。,3,443,2024-01-16
R0719,手表,使用体验很棒，朋友都说好看。,4,56,2024-05-22
R0720,耳机,包装精美，产品和描述一致，推荐！,4,134,2024-03-01
R0721,智能手机,非常好用，物流很快，客服态度也很好！,4,89,2024-02-13
R0722,智能手机,使用体验很棒，朋友都说好看。,4,210,2024-01-19
R0723,家电,产品正常，没有惊喜。,3,470,2024-02-08
R0724,家电,包装有破损，体验差。,1,0,2024-04-27
R0725,手表,跟描述差不多，可以接受。,3,476,2024-02-14
R0726,智能手机,质量超出预期，会再次购买。,4,340,2024-02-26
R0727,家电,质量不好，跟图片不一样，不推荐。,1,87,2024-02-22
R0728,耳机,产品正常，没有惊喜。,3,72,2024-01-31
R0729,智能手机,性价比很高，满意的一次购物。,4,138,2024-02-03
R0730,手表,包装精美，产品和描述一致，推荐！,5,11,2024-01-12
R0731,手表,使用体验很棒，朋友都说好看。,4,232,2024-03-05
R0732,笔记本电脑,产品正常，没有惊喜。,3,7,2024-05-31
R0733,耳机,使用体验很棒，朋友都说好看。,4,459,2024-03-09
R0734,笔记本电脑,使用体验很棒，朋友都说好看。,4,428,2024-01-05
R0735,手表,跟描述差不多，可以接受。,3,67,2024-06-08
R0736,耳机,功能齐全，做工精细，好评！,5,442,2024-02-11
R0737,手表,使用体验很棒，朋友都说好看。,4,461,2024-06-27
R0738,智能手机,质量超出预期，会再次购买。,5,26,2024-03-09
R0739,家电,跟描述差不多，可以接受。,3,136,2024-05-18
R0740,笔记本电脑,使用体验很棒，朋友都说好看。,5,149,2024-04-16
R0741,家电,非常好用，物流很快，客服态度也很好！,5,489,2024-03-25
R0742,家电,物流太慢了，客服也不回复。,1,134,2024-02-07
R0743,智能手机,使用体验很棒，朋友都说好看。,4,311,2024-04-25
R0744,笔记本电脑,包装精美，产品和描述一致，推荐！,5,231,2024-03-27
R0745,笔记本电脑,使用体验很棒，朋友都说好看。,5,60,2024-03-10
R0746,智能手机,物流太慢了，客服也不回复。,1,195,2024-04-21
R0747,家电,包装精美，产品和描述一致，推荐！,4,16,2024-02-27
R0748,笔记本电脑,功能齐全，做工精细，好评！,5,350,2024-02-25
R0749,智能手机,用了几天就出问题，失望。,2,74,2024-03-26
R0750,智能手机,质量超出预期，会再次购买。,5,335,2024-02-07
R0751,家电,性价比很高，满意的一次购物。,5,265,2024-02-21
R0752,手表,还行吧，一般般。,3,231,2024-06-14
R0753,家电,产品正常，没有惊喜。,3,323,2024-01-31
R0754,家电,跟描述差不多，可以接受。,3,337,2024-02-28
R0755,笔记本电脑,功能齐全，做工精细，好评！,4,415,2024-01-07
R0756,手表,质量不好，跟图片不一样，不推荐。,1,394,2024-04-21
R0757,智能手机,使用体验很棒，朋友都说好看。,5,184,2024-05-29
R0758,智能手机,功能齐全，做工精细，好评！,4,250,2024-03-21
R0759,智能手机,跟描述差不多，可以接受。,3,324,2024-02-18
R0760,笔记本电脑,产品正常，没有惊喜。,3,437,2024-05-12
R0761,智能手机,质量不好，跟图片不一样，不推荐。,1,343,2024-01-03
R0762,家电,非常好用，物流很快，客服态度也很好！,4,31,2024-01-29
R0763,笔记本电脑,使用体验很棒，朋友都说好看。,4,453,2024-05-23
R0764,家电,非常好用，物流很快，客服态度也很好！,4,431,2024-05-19
R0765,耳机,非常好用，物流很快，客服态度也很好！,5,456,2024-01-30
R0766,耳机,使用体验很棒，朋友都说好看。,4,187,2024-04-18
R0767,耳机,质量不好，跟图片不一样，不推荐。,2,376,2024-02-15
R0768,耳机,包装有破损，体验差。,2,459,2024-06-22
R0769,手表,质量超出预期，会再次购买。,5,292,2024-01-13
R0770,笔记本电脑,质量不好，跟图片不一样，不推荐。,2,154,2024-06-18
R0771,笔记本电脑,物流太慢了，客服也不回复。,1,281,2024-04-02
R0772,耳机,包装有破损，体验差。,1,32,2024-04-30
R0773,家电,不值这个价格，不建议购买。,2,130,2024-03-20
R0774,手表,质量超出预期，会再次购买。,5,149,2024-02-08
R0775,耳机,包装精美，产品和描述一致，推荐！,5,306,2024-02-16
R0776,家电,质量超出预期，会再次购买。,4,428,2024-01-07
R0777,智能手机,非常好用，物流很快，客服态度也很好！,5,400,2024-02-27
R0778,家电,质量不好，跟图片不一样，不推荐。,2,31,2024-06-13
R0779,智能手机,非常好用，物流很快，客服态度也很好！,5,332,2024-04-27
R0780,智能手机,质量超出预期，会再次购买。,4,139,2024-02-11
R0781,家电,包装有破损，体验差。,1,16,2024-03-30
R0782,笔记本电脑,还行吧，一般般。,3,136,2024-04-04
R0783,耳机,包装精美，产品和描述一致，推荐！,5,38,2024-03-13
R0784,耳机,使用体验很棒，朋友都说好看。,4,479,2024-03-01
R0785,耳机,包装有破损，体验差。,1,42,2024-04-02
R0786,手表,质量超出预期，会再次购买。,4,114,2024-03-24
R0787,耳机,功能齐全，做工精细，好评！,4,337,2024-03-29
R0788,耳机,物流太慢了，客服也不回复。,2,281,2024-04-09
R0789,智能手机,还行吧，一般般。,3,387,2024-05-13
R0790,笔记本电脑,功能齐全，做工精细，好评！,4,58,2024-04-09
R0791,耳机,物流太慢了，客服也不回复。,2,324,2024-02-29
R0792,笔记本电脑,还行吧，一般般。,3,497,2024-04-28
R0793,笔记本电脑,价格还算合理。,3,117,2024-05-24
R0794,耳机,包装精美，产品和描述一致，推荐！,5,171,2024-01-08
R0795,笔记本电脑,功能齐全，做工精细，好评！,5,351,2024-03-01
R0796,手表,质量超出预期，会再次购买。,5,5,2024-01-06
R0797,手表,产品正常，没有惊喜。,3,283,2024-04-19
R0798,手表,非常好用，物流很快，客服态度也很好！,5,443,2024-03-17
R0799,家电,非常好用，物流很快，客服态度也很好！,5,307,2024-05-06
R0800,笔记本电脑,包装有破损，体验差。,2,442,2024-06-24
